,P1,P1C0,P1C1,P1C2,P1C3,P1C4,P1C5,P1C6,PIC7,P2,P2C0,P2C1,P2C2,P2C3,P2C4,P2C5,P2C6,P2C7,P3,P3C0,P3C1,P3C2,P3C3,P3C4,P3C5,P3C6,P3C7,P4,P4C0,P4C1,P4C2,P4C3,P4C4,P4C5,P4C6,P4C7,P5,P5C0,P5C1,P5C2,P5C3,P5C4,P5C5,P5C6,P5C7,Tot prob 0,Tot prob 1,Tot prob 2,Tot prob 3,Tot prob 4,Tot prob 5,Tot prob 6,Tot prob 7,NRating,Rating
30,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Tony Allen 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kevin Garnett* 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kendrick Perkins 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.073,0.0,0.008,0.997,0.9209999999999999,2.0,0.0,1.0,6.912508333333334,-1.8
31,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Leon Powe 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.073,0.0,0.213,0.997,1.716,1.0,0.0,1.0,12.191761458333335,21.0
32,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Leon Powe 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Gabe Pruitt 2009BOS,0.040999999999999995,0.0,0.0,0.9590000000000001,0.0,0.0,0.0,0.0,0.906,0.0,0.205,0.9630000000000001,0.925,1.0,0.0,1.0,7.27679375,-1.2
33,Tony Allen 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Leon Powe 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Brian Scalabrine 2009BOS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.865,0.0,0.0,0.004,0.13,2.0,0.0,1.0,6.46110625,-5.4
34,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Mikki Moore 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Kendrick Perkins 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.073,0.0,0.213,0.997,1.716,0.0,0.0,2.0,9.59499375,9.5
35,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Leon Powe 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.938,0.0,0.205,0.009000000000000001,1.846,1.0,0.0,1.0,6.340071875000001,-6.4
36,Tony Allen 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Leon Powe 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Gabe Pruitt 2009BOS,0.040999999999999995,0.0,0.0,0.9590000000000001,0.0,0.0,0.0,0.0,0.906,0.0,0.0,0.9630000000000001,0.13,2.0,0.0,1.0,9.730322916666667,10.3
37,Tony Allen 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Stephon Marbury 2009BOS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mikki Moore 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.865,0.0,0.0,1.004,0.13,2.0,0.0,1.0,9.538533333333334,9.1
38,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Stephon Marbury 2009BOS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mikki Moore 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,0.865,0.0,0.205,1.004,0.925,1.0,0.0,1.0,7.654902083333334,-3.6
39,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Kendrick Perkins 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.865,0.0,0.213,0.996,0.925,1.0,0.0,1.0,11.037991666666667,19.6
