,Prob. cluster 0,Prob. cluster 1,Prob. cluster 2,Prob. cluster 3,Prob. cluster 4,Prob. cluster 5,Prob. cluster 6,Prob. cluster 7,labels
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
49,0.881,0.0,0.013,0.0,0.106,0.0,0.0,0.0,0
50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
54,0.0,0.0,0.001,0.999,0.0,0.0,0.0,0.0,3
55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
56,0.057,0.0,0.0,0.001,0.942,0.0,0.0,0.0,4
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
58,0.999,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0
59,0.0,0.0,0.061,0.0,0.939,0.0,0.0,0.0,4
60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
62,0.001,0.0,0.791,0.001,0.207,0.0,0.0,0.0,2
63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
66,0.0,0.0,0.0,0.05,0.95,0.0,0.0,0.0,4
67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
72,0.0,0.0,0.0,0.395,0.0,0.605,0.0,0.0,5
73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
75,0.996,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0
76,0.0,0.0,0.0,0.836,0.164,0.0,0.0,0.0,3
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
78,0.0,0.0,0.007,0.0,0.0,0.993,0.0,0.0,5
79,0.0,0.0,0.008,0.0,0.0,0.992,0.0,0.0,5
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
83,0.0,0.0,0.0,0.011,0.989,0.0,0.0,0.0,4
84,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
85,0.0,0.0,0.0,0.008,0.992,0.0,0.0,0.0,4
86,0.006,0.0,0.0,0.433,0.561,0.0,0.0,0.0,4
87,0.0,0.0,0.001,0.0,0.999,0.0,0.0,0.0,4
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
91,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
93,0.0,0.0,0.001,0.001,0.999,0.0,0.0,0.0,4
94,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
95,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,3
96,0.043,0.0,0.955,0.002,0.0,0.0,0.0,0.0,2
97,0.997,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0
98,0.025,0.0,0.975,0.0,0.0,0.0,0.0,0.0,2
99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
100,0.0,0.0,0.0,0.001,0.0,0.999,0.0,0.0,5
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
102,0.0,0.0,0.0,0.428,0.572,0.0,0.0,0.0,4
103,0.0,0.0,0.001,0.067,0.932,0.0,0.0,0.0,4
104,0.0,0.0,0.822,0.178,0.0,0.0,0.0,0.0,2
105,0.0,0.0,0.0,0.009,0.991,0.0,0.0,0.0,4
106,0.998,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0
107,0.0,0.0,0.0,0.998,0.002,0.0,0.0,0.0,3
108,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
109,0.935,0.0,0.001,0.002,0.062,0.0,0.0,0.0,0
110,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
111,0.0,0.0,0.0,0.001,0.999,0.0,0.0,0.0,4
112,0.0,0.0,0.006,0.0,0.994,0.0,0.0,0.0,4
113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
115,0.0,0.0,0.126,0.87,0.003,0.0,0.0,0.0,3
116,0.004,0.0,0.0,0.025,0.972,0.0,0.0,0.0,4
117,0.0,0.0,0.0,0.001,0.999,0.0,0.0,0.0,4
118,0.23,0.0,0.0,0.416,0.354,0.0,0.0,0.0,3
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
120,0.094,0.0,0.0,0.163,0.0,0.744,0.0,0.0,5
121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
122,0.085,0.0,0.0,0.009,0.906,0.0,0.0,0.0,4
123,0.0,0.0,0.0,0.001,0.999,0.0,0.0,0.0,4
124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
