,Unnamed: 0,Rk,Player1,Player2,Player3,Player4,Player5,MP,PTS,New PTS,Tm
512,512,527,LaMarcus Aldridge 2016,Kyle Anderson 2016,Tim Duncan* 2016,Danny Green 2016,Tony Parker 2016,60.02,8.0,9.460716145833334,SAS
513,513,528,Boris Diaw 2016,Manu Ginóbili 2016,Danny Green 2016,Patty Mills 2016,David West 2016,57.07,2.6,7.88827213541667,SAS
514,514,529,Kyle Anderson 2016,Boris Diaw 2016,Patty Mills 2016,Jonathon Simmons 2016,David West 2016,53.5,7.2,9.309960937500003,SAS
515,515,530,Boris Diaw 2016,Manu Ginóbili 2016,Kawhi Leonard 2016,Patty Mills 2016,David West 2016,51.04,17.5,12.085520833333335,SAS
516,516,531,LaMarcus Aldridge 2016,Tim Duncan* 2016,Danny Green 2016,Kawhi Leonard 2016,Patty Mills 2016,43.28,42.5,17.422864583333336,SAS
517,517,532,LaMarcus Aldridge 2016,Kyle Anderson 2016,Danny Green 2016,Kawhi Leonard 2016,Tony Parker 2016,42.59,17.8,11.827490885416667,SAS
518,518,533,LaMarcus Aldridge 2016,Boris Diaw 2016,Manu Ginóbili 2016,Kawhi Leonard 2016,Tony Parker 2016,39.56,2.3,8.512723958333336,SAS
519,519,534,Kyle Anderson 2016,Rasual Butler 2016,Boban Marjanovi? 2016,Ray McCallum 2016,Jonathon Simmons 2016,35.5,-26.2,3.408658854166668,SAS
520,520,535,Boris Diaw 2016,Manu Ginóbili 2016,Patty Mills 2016,Jonathon Simmons 2016,David West 2016,33.43,2.5,8.797376302083338,SAS
521,521,536,LaMarcus Aldridge 2016,Boris Diaw 2016,Danny Green 2016,Kawhi Leonard 2016,Patty Mills 2016,27.32,8.8,9.93646354166667,SAS
522,522,537,LaMarcus Aldridge 2016,Tim Duncan* 2016,Danny Green 2016,Kawhi Leonard 2016,Ray McCallum 2016,25.12,-17.3,6.536895833333336,SAS
523,523,538,LaMarcus Aldridge 2016,Kyle Anderson 2016,Tim Duncan* 2016,Kawhi Leonard 2016,Tony Parker 2016,24.48,22.3,11.677312500000005,SAS
524,524,539,LaMarcus Aldridge 2016,Tim Duncan* 2016,Manu Ginóbili 2016,Kawhi Leonard 2016,Patty Mills 2016,24.08,36.2,13.395239583333336,SAS
525,525,540,DeMar DeRozan 2016,James Johnson 2016,Kyle Lowry 2016,Luis Scola 2016,Jonas Valanciunas 2016,326.59,-4.6,-4.6,TOR
526,526,541,Bismack Biyombo 2016,Cory Joseph 2016,Kyle Lowry 2016,Patrick Patterson 2016,Terrence Ross 2016,295.37,18.6,18.6,TOR
527,527,542,DeMarre Carroll 2016,DeMar DeRozan 2016,Kyle Lowry 2016,Luis Scola 2016,Jonas Valanciunas 2016,228.51,-1.4,-1.4,TOR
528,528,543,Bismack Biyombo 2016,DeMar DeRozan 2016,Cory Joseph 2016,Patrick Patterson 2016,Terrence Ross 2016,217.01,13.3,13.3,TOR
529,529,544,DeMar DeRozan 2016,Kyle Lowry 2016,Norman Powell 2016,Luis Scola 2016,Jonas Valanciunas 2016,149.57,-7.1,-4.5493149671052615,TOR
530,530,545,Bismack Biyombo 2016,DeMar DeRozan 2016,Cory Joseph 2016,Kyle Lowry 2016,Patrick Patterson 2016,140.55,16.2,13.04925164473684,TOR
531,531,546,Bismack Biyombo 2016,DeMarre Carroll 2016,DeMar DeRozan 2016,Kyle Lowry 2016,Luis Scola 2016,129.43,-7.2,-3.4060076754385977,TOR
532,532,547,Bismack Biyombo 2016,DeMar DeRozan 2016,Kyle Lowry 2016,Terrence Ross 2016,Luis Scola 2016,102.5,-3.8,0.042023026315790364,TOR
533,533,548,Bismack Biyombo 2016,DeMar DeRozan 2016,Kyle Lowry 2016,Patrick Patterson 2016,Terrence Ross 2016,101.38,-11.0,-3.711648026315789,TOR
534,534,549,DeMar DeRozan 2016,Cory Joseph 2016,Kyle Lowry 2016,Patrick Patterson 2016,Jonas Valanciunas 2016,96.21,10.0,7.227131578947367,TOR
535,535,550,DeMar DeRozan 2016,Kyle Lowry 2016,Patrick Patterson 2016,Terrence Ross 2016,Jonas Valanciunas 2016,85.09,32.6,16.921038925438598,TOR
536,536,552,Bismack Biyombo 2016,DeMar DeRozan 2016,Kyle Lowry 2016,Norman Powell 2016,Luis Scola 2016,69.14,16.8,8.892234649122807,TOR
537,537,553,Cory Joseph 2016,Kyle Lowry 2016,Patrick Patterson 2016,Terrence Ross 2016,Jonas Valanciunas 2016,67.04,19.3,9.629986842105264,TOR
538,538,554,Bismack Biyombo 2016,DeMar DeRozan 2016,James Johnson 2016,Kyle Lowry 2016,Luis Scola 2016,61.22,-12.5,-0.9599555921052624,TOR
539,539,555,DeMar DeRozan 2016,Kyle Lowry 2016,Terrence Ross 2016,Luis Scola 2016,Jonas Valanciunas 2016,46.46,-19.5,-1.351385416666666,TOR
540,540,556,DeMar DeRozan 2016,Cory Joseph 2016,Patrick Patterson 2016,Terrence Ross 2016,Jonas Valanciunas 2016,43.33,14.8,6.779644736842107,TOR
541,541,557,Bismack Biyombo 2016,DeMarre Carroll 2016,Cory Joseph 2016,Patrick Patterson 2016,Terrence Ross 2016,41.43,-25.0,-1.9109490131578943,TOR
542,542,558,Bismack Biyombo 2016,DeMarre Carroll 2016,DeMar DeRozan 2016,Kyle Lowry 2016,Patrick Patterson 2016,37.17,14.3,6.350532072368423,TOR
543,543,559,DeMarre Carroll 2016,DeMar DeRozan 2016,Cory Joseph 2016,Kyle Lowry 2016,Jonas Valanciunas 2016,36.22,20.6,7.490224780701755,TOR
544,544,560,Derrick Favors 2016,Rudy Gobert 2016,Gordon Hayward 2016,Rodney Hood 2016,Raul Neto 2016,304.06,7.3,7.3,UTA
545,545,561,Derrick Favors 2016,Rudy Gobert 2016,Gordon Hayward 2016,Rodney Hood 2016,Shelvin Mack 2016,255.18,10.2,10.2,UTA
546,546,562,Derrick Favors 2016,Gordon Hayward 2016,Rodney Hood 2016,Trey Lyles 2016,Raul Neto 2016,113.17,10.9,6.492499739583334,UTA
547,547,563,Rudy Gobert 2016,Gordon Hayward 2016,Rodney Hood 2016,Trey Lyles 2016,Raul Neto 2016,108.16,8.7,4.97305,UTA
548,548,564,Gordon Hayward 2016,Rodney Hood 2016,Trey Lyles 2016,Raul Neto 2016,Jeff Withey 2016,89.01,-9.2,-4.17655546875,UTA
549,549,565,Rudy Gobert 2016,Gordon Hayward 2016,Rodney Hood 2016,Trey Lyles 2016,Shelvin Mack 2016,77.44,17.6,7.197116666666667,UTA
